"filename", "language", "CMake", "CMakeCache", "Excel", "comment", "blank", "total"
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_3_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_4_time.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_4_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_5_time.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_5_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_6_time.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_6_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_7_time.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_7_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_8_time.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/CMakeFiles/tensor_8_time.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/benchmark/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/build/cmake_install.cmake", "CMake", 41, 0, 0, 7, 10, 58
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 7, 0, 0, 5, 5, 17
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/merge_example.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/merge_example.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/merge_ntt_cpu_example.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/merge_ntt_cpu_example.dir/cmake_clean.cmake", "CMake", 9, 0, 0, 1, 2, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/build/example/CMakeFiles/tensor_7_example.dir/DependInfo.cmake", "CMake", 16, 0, 0, 5, 4, 25
